"UID","class"
3426,"urban"
3427,"urban"
3428,"urban"
3429,"urban"
3430,"urban"
3431,"urban"
3432,"urban"
3433,"urban"
3434,"urban"
3435,"urban"
3436,"urban"
3437,"urban"
3438,"urban"
3439,"urban"
3440,"urban"
3441,"urban"
3442,"rural"
3443,"rural"
3444,"rural"
3445,"rural"
3446,"rural"
3447,"rural"
3448,"rural"
3449,"rural"
3450,"rural"
3451,"rural"
3452,"rural"
3453,"rural"
3454,"rural"
3455,"rural"
3456,"rural"
3457,"rural"
3458,"rural"
3459,"rural"
3460,"rural"
3461,"rural"
3462,"rural"
3463,"rural"
3464,"urban"
3465,"rural"
3466,"rural"
3467,"rural"
3468,"rural"
3469,"rural"
3470,"rural"
3471,"rural"
3472,"rural"
3473,"rural"
3474,"rural"
3475,"rural"
3476,"rural"
3477,"rural"
3478,"rural"
3479,"rural"
3480,"rural"
3481,"rural"
3482,"rural"
3483,"rural"
3484,"rural"
3485,"rural"
3486,"rural"
3487,"rural"
3488,"rural"
3489,"rural"
3490,"rural"
3491,"rural"
3492,"rural"
3493,"rural"
3494,"rural"
3495,"rural"
3496,"rural"
3497,"rural"
3498,"rural"
3499,"rural"
3500,"rural"
3501,"rural"
3502,"rural"
3503,"rural"
3504,"rural"
3505,"rural"
3506,"rural"
3507,"rural"
3508,"rural"
3509,"rural"
3510,"rural"
3511,"rural"
3512,"rural"
3513,"rural"
3514,"rural"
3515,"rural"
3516,"rural"
3517,"rural"
3518,"rural"
3519,"rural"
3520,"rural"
3521,"rural"
3522,"rural"
3523,"rural"
3524,"rural"
3525,"rural"
3526,"rural"
3527,"rural"
3528,"rural"
3529,"rural"
3530,"rural"
3531,"urban"
3532,"urban"
3533,"rural"
3534,"urban"
3535,"rural"
3536,"rural"
3537,"rural"
3538,"rural"
3539,"rural"
3540,"rural"
3541,"urban"
3542,"rural"
3543,"rural"
3544,"rural"
3545,"rural"
3546,"rural"
3547,"rural"
3548,"rural"
3549,"rural"
3550,"rural"
3551,"rural"
3552,"rural"
3553,"rural"
3554,"rural"
3555,"rural"
3556,"rural"
3557,"rural"
3558,"rural"
3559,"rural"
3560,"rural"
3561,"rural"
3562,"rural"
3563,"rural"
3564,"rural"
3565,"rural"
3566,"rural"
3567,"rural"
3568,"rural"
3569,"rural"
3570,"rural"
3571,"rural"
3572,"rural"
3573,"rural"
3574,"rural"
3575,"rural"
3576,"rural"
3577,"rural"
3578,"rural"
3579,"rural"
3580,"rural"
3581,"rural"
3582,"urban"
3583,"rural"
3584,"rural"
3585,"rural"
3586,"urban"
3587,"rural"
3588,"rural"
3589,"rural"
3590,"rural"
3591,"rural"
3592,"rural"
3593,"rural"
3594,"rural"
3595,"rural"
3596,"rural"
3597,"rural"
3598,"rural"
3599,"rural"
3600,"urban"
3601,"rural"
3602,"rural"
3603,"rural"
3604,"rural"
3605,"rural"
3606,"rural"
3607,"rural"
3608,"rural"
3609,"rural"
3610,"rural"
3611,"rural"
3612,"rural"
3613,"rural"
3614,"rural"
3615,"rural"
3616,"rural"
3617,"rural"
3618,"rural"
3619,"rural"
3620,"rural"
3621,"rural"
3622,"rural"
3623,"rural"
3624,"rural"
3625,"rural"
3626,"rural"
3627,"rural"
3628,"rural"
3629,"rural"
3630,"rural"
3631,"rural"
3632,"rural"
3633,"rural"
3634,"rural"
3635,"rural"
3636,"rural"
3637,"rural"
3638,"rural"
3639,"rural"
3640,"rural"
3641,"rural"
3642,"rural"
3643,"rural"
3644,"rural"
3645,"rural"
3646,"rural"
3647,"rural"
3648,"rural"
3649,"rural"
3650,"rural"
3651,"rural"
3652,"rural"
3653,"rural"
3654,"rural"
3655,"rural"
3656,"rural"
3657,"rural"
3658,"rural"
3659,"rural"
3660,"rural"
3661,"rural"
3662,"rural"
3663,"rural"
3664,"rural"
3665,"rural"
3666,"rural"
3667,"rural"
3668,"rural"
3669,"rural"
3670,"rural"
3671,"rural"
3672,"rural"
3673,"rural"
3674,"rural"
3675,"rural"
3676,"rural"
3677,"rural"
3678,"rural"
3679,"rural"
3680,"rural"
3681,"rural"
3682,"urban"
3683,"rural"
3684,"urban"
3685,"rural"
3686,"rural"
3687,"rural"
3688,"rural"
3689,"rural"
3690,"rural"
3691,"rural"
3692,"rural"
3693,"rural"
3694,"urban"
3695,"urban"
3696,"urban"
3697,"urban"
3698,"urban"
3699,"rural"
3700,"rural"
3701,"rural"
3702,"rural"
3703,"rural"
3704,"rural"
3705,"rural"
3706,"rural"
3707,"rural"
3708,"urban"
3709,"rural"
3710,"rural"
3711,"rural"
3712,"rural"
3713,"rural"
3714,"rural"
3715,"urban"
