"","UID","Jan18_rade9h_sum","Feb18_rade9h_sum","Mar18_rade9h_sum","Apr18_rade9h_sum","May18_rade9h_sum","Jun18_rade9h_sum","Jul18_rade9h_sum","Aug18_rade9h_sum","Sep18_rade9h_sum","Oct18_rade9h_sum","Nov18_rade9h_sum","Dec18_rade9h_sum","Jan18_outlier_smth_sum","Feb18_outlier_smth_sum","Mar18_outlier_smth_sum","Apr18_outlier_smth_sum","May18_outlier_smth_sum","Jun18_outlier_smth_sum","Jul18_outlier_smth_sum","Aug18_outlier_smth_sum","Sep18_outlier_smth_sum","Oct18_outlier_smth_sum","Nov18_outlier_smth_sum","Dec18_outlier_smth_sum","Jan18_rade9h_sum_diff","Feb18_rade9h_sum_diff","Mar18_rade9h_sum_diff","Apr18_rade9h_sum_diff","May18_rade9h_sum_diff","Jun18_rade9h_sum_diff","Jul18_rade9h_sum_diff","Aug18_rade9h_sum_diff","Sep18_rade9h_sum_diff","Oct18_rade9h_sum_diff","Nov18_rade9h_sum_diff","Dec18_rade9h_sum_diff","Jan18_outlier_smth_sum_diff","Feb18_outlier_smth_sum_diff","Mar18_outlier_smth_sum_diff","Apr18_outlier_smth_sum_diff","May18_outlier_smth_sum_diff","Jun18_outlier_smth_sum_diff","Jul18_outlier_smth_sum_diff","Aug18_outlier_smth_sum_diff","Sep18_outlier_smth_sum_diff","Oct18_outlier_smth_sum_diff","Nov18_outlier_smth_sum_diff","Dec18_outlier_smth_sum_diff"
"1",1216,6867.37841796875,9337.43359375,10474.10546875,9424.701171875,6781.43603515625,3453.974609375,2828.25659179688,4067.71020507813,11651.810546875,12654.146484375,12108.755859375,6283.9541015625,158.62467956543,176.027206420898,167.842895507813,176.943832397461,159.159210205078,160.303665161133,133.736755371094,146.322601318359,168.399139404297,177.615417480469,198.770004272461,173.68034362793,-2779.58154296875,2470.05517578125,1136.671875,-1049.404296875,-2643.26513671875,-3327.46142578125,-625.71801757812,1239.45361328125,7584.10034179687,1002.3359375,-545.390625,-5824.8017578125,-25.416488647461,17.402526855468,-8.184310913085,9.10093688964798,-17.784622192383,1.144454956055,-26.566909790039,12.585845947265,22.076538085938,9.21627807617202,21.154586791992,-25.089660644531
"2",1231,17634.248046875,19212.251953125,18015.072265625,19512.251953125,16018.876953125,10606.53515625,8763.2763671875,5636.23828125,14031.1435546875,14635.4453125,17481.2578125,11410.8515625,3.59482383728027,3.41714596748352,3.25782537460327,3.55673217773438,3.48103523254395,2.68040347099304,2.27891731262207,2.3637592792511,3.39429235458374,3.12038731575012,3.62063670158386,2.74285745620728,1477.1669921875,1578.00390625,-1197.1796875,1497.1796875,-3493.375,-5412.341796875,-1843.2587890625,-3127.0380859375,8394.9052734375,604.3017578125,2845.8125,-6070.40625,0.4491868019104,-0.17767786979675,-0.15932059288025,0.29890680313111,-0.0756969451904297,-0.80063176155091,-0.40148615837097,0.0848419666290301,1.03053307533264,-0.27390503883362,0.50024938583374,-0.87777924537658
"3",1467,3400.2890625,4607.02294921875,5039.04345703125,4061.1298828125,3034.67553710938,1886.26391601563,1554.70141601563,1910.63513183594,3199.32495117188,3721.09375,4839.45947265625,3729.716796875,138.146545410156,141.932983398438,148.13525390625,139.816772460938,138.102584838867,153.557540893555,144.387710571289,119.50414276123,137.945465087891,165.81396484375,169.717666625977,161.132247924805,-550.89819335938,1206.73388671875,432.0205078125,-977.91357421875,-1026.45434570312,-1148.41162109375,-331.5625,355.93371582031,1288.68981933594,521.76879882812,1118.36572265625,-1109.74267578125,-11.623641967774,3.78643798828202,6.20227050781199,-8.31848144531199,-1.71418762207102,15.454956054688,-9.16983032226599,-24.883567810059,18.441322326661,27.868499755859,3.90370178222699,-8.58541870117199
"4",1491,2731.55053710938,2840.34838867188,3198.81811523438,2685.0146484375,2123.65649414063,1545.87548828125,1288.38146972656,1458.56726074219,2234.154296875,2571.96850585938,2900.38134765625,2434.86572265625,405.205535888672,368.795837402344,363.935394287109,373.836273193359,384.985626220703,448.949676513672,415.31005859375,368.396911621094,403.206787109375,419.416137695313,459.065673828125,473.591766357422,-688.69213867187,108.7978515625,358.4697265625,-513.80346679688,-561.35815429687,-577.78100585938,-257.49401855469,170.18579101563,775.58703613281,337.81420898438,328.41284179687,-465.515625,-51.277587890625,-36.409698486328,-4.860443115235,9.90087890625,11.149353027344,63.964050292969,-33.639617919922,-46.913146972656,34.809875488281,16.209350585938,39.649536132812,14.526092529297
"5",1574,75440.5390625,101344.5625,106781.5,92879.0390625,72652.984375,51173.1015625,32422.71484375,28584.365234375,68914.421875,77849.4453125,108146.96875,55131.1171875,1183.49462890625,1261.07263183594,1341.42199707031,1435.55151367188,1475.24243164063,1528.60778808594,1346.4287109375,1190.244140625,1430.21655273438,1433.96813964844,1373.314453125,1272.30444335938,-31235.3046875,25904.0234375,5436.9375,-13902.4609375,-20226.0546875,-21479.8828125,-18750.38671875,-3838.349609375,40330.056640625,8935.0234375,30297.5234375,-53015.8515625,-188.96826171875,77.57800292969,80.34936523437,94.12951660157,39.69091796875,53.36535644531,-182.17907714844,-156.1845703125,239.97241210938,3.75158691406,-60.65368652344,-101.01000976562
"6",1588,44828.3671875,61158.484375,65522.83984375,58175.890625,44315.328125,28263.546875,21577.517578125,26720.787109375,53526.90234375,58982.64453125,70983.5390625,41343.6015625,1378.67224121094,1734.21264648438,1677.79638671875,1803.46643066406,1980.65002441406,2231.22607421875,2017.67028808594,1804.66296386719,2018.63598632813,2018.71081542969,2095.89233398438,1974.76110839844,-21549.2421875,16330.1171875,4364.35546875,-7346.94921875,-13860.5625,-16051.78125,-6686.029296875,5143.26953125,26806.115234375,5455.7421875,12000.89453125,-29639.9375,-319.04040527344,355.54040527344,-56.41625976563,125.67004394531,177.18359375,250.57604980469,-213.55578613281,-213.00732421875,213.97302246094,0.0748291015599989,77.18151855469,-121.13122558594
"7",1790,39124.1875,46111.6875,47331.734375,51829.1953125,47748.140625,30210.732421875,21602.650390625,11869.96484375,33814.30078125,41216.00390625,43408.1640625,25759.66015625,566.495544433594,583.294921875,636.1787109375,597.15283203125,622.077392578125,548.506591796875,488.192260742188,507.378509521484,589.727233886719,611.369873046875,607.043151855469,569.405029296875,-8262.66015625,6987.5,1220.046875,4497.4609375,-4081.0546875,-17537.408203125,-8608.08203125,-9732.685546875,21944.3359375,7401.703125,2192.16015625,-17648.50390625,-48.953796386719,16.799377441406,52.8837890625,-39.02587890625,24.924560546875,-73.57080078125,-60.314331054687,19.186248779296,82.348724365235,21.642639160156,-4.32672119140602,-37.638122558594
"8",1801,10308.927734375,13203.431640625,15292.974609375,14301.8564453125,10063.1357421875,5602.4658203125,4617.6435546875,8114.24755859375,15129.326171875,15275.2333984375,17058.8515625,10536.4775390625,1183.75280761719,1258.42626953125,1236.51171875,1305.62927246094,1149.294921875,1227.37902832031,1223.60314941406,1031.99975585938,1150.94470214844,1208.90234375,1356.38671875,1233.89660644531,-853.2138671875,2894.50390625,2089.54296875,-991.1181640625,-4238.720703125,-4460.669921875,-984.822265625,3496.60400390625,7015.07861328125,145.9072265625,1783.6181640625,-6522.3740234375,-68.47717285156,74.67346191406,-21.91455078125,69.11755371094,-156.33435058594,78.08410644531,-3.77587890625,-191.60339355468,118.94494628906,57.95764160156,147.484375,-122.49011230469
"9",1813,71553.953125,80395.46875,86749.8984375,88625.140625,74549.453125,51283.2734375,39521.12890625,22600.3046875,65471.01953125,73106.8671875,78841.15625,43415.02734375,2246.58813476563,1995.62951660156,2205.68994140625,2131.20288085938,2089.94482421875,2060.52075195313,1855.45471191406,1871.73449707031,1931.42529296875,1685.2958984375,1569.45983886719,1497.24230957031,-8565.421875,8841.515625,6354.4296875,1875.2421875,-14075.6875,-23266.1796875,-11762.14453125,-16920.82421875,42870.71484375,7635.84765625,5734.2890625,-35426.12890625,67.58447265625,-250.95861816407,210.06042480469,-74.48706054687,-41.25805664063,-29.42407226562,-205.06604003907,16.27978515625,59.69079589844,-246.12939453125,-115.83605957031,-72.21752929688
"10",1823,48903.14453125,50650.12890625,53904.640625,50664.95703125,39064.12109375,23754.427734375,17743.333984375,13853.509765625,34510.52734375,38452.1484375,50232.01953125,32626.416015625,449.431884765625,469.132141113281,472.834442138672,469.683898925781,455.33984375,497.674682617188,457.645416259766,379.218811035156,501.219818115234,451.113891601563,472.657653808594,511.924102783203,-122.609375,1746.984375,3254.51171875,-3239.68359375,-11600.8359375,-15309.693359375,-6011.09375,-3889.82421875,20657.017578125,3941.62109375,11779.87109375,-17605.603515625,-53.882202148438,19.700256347656,3.70230102539097,-3.15054321289097,-14.344055175781,42.334838867188,-40.029266357422,-78.42660522461,122.001007080078,-50.105926513671,21.543762207031,39.266448974609
